Date,Daily_Average_Value
2020-01-01,323.5
2020-01-02,254.20833333333334
2020-01-03,182.20833333333334
2020-01-04,202.83333333333334
2020-01-05,155.66666666666666
2020-01-06,129.33333333333334
2020-01-07,123.625
2020-01-08,89.0
2020-01-09,113.82608695652173
2020-01-10,150.0
2020-01-11,177.70833333333334
2020-01-12,202.875
2020-01-13,175.625
2020-01-14,106.45833333333333
2020-01-15,121.08333333333333
2020-01-16,148.45833333333334
2020-01-17,121.79166666666667
2020-01-18,134.79166666666666
2020-01-19,129.04166666666666
2020-01-20,181.33333333333334
2020-01-21,224.45833333333334
2020-01-22,166.66666666666666
2020-01-23,65.66666666666667
2020-01-24,92.0
2020-01-25,148.20833333333334
2020-01-26,171.375
2020-01-27,171.16666666666666
2020-01-28,108.375
2020-01-29,80.125
2020-01-30,96.25
2020-01-31,92.33333333333333
2020-02-01,110.41666666666667
2020-02-02,135.16666666666666
2020-02-03,132.91666666666666
2020-02-04,161.41666666666666
2020-02-05,127.66666666666667
2020-02-06,119.95833333333333
2020-02-07,144.0
2020-02-08,158.04545454545453
2020-02-09,162.29166666666666
2020-02-10,183.20833333333334
2020-02-11,166.58333333333334
2020-02-12,165.33333333333334
2020-02-13,94.70833333333333
2020-02-14,67.0
2020-02-15,94.58333333333333
2020-02-16,127.625
2020-02-17,155.95833333333334
2020-02-18,123.08333333333333
2020-02-19,117.58333333333333
2020-02-20,99.70833333333333
2020-02-21,39.666666666666664
2020-02-22,81.79166666666667
2020-02-23,77.16666666666667
2020-02-24,87.83333333333333
2020-02-25,157.08333333333334
2020-02-26,122.0
2020-02-27,96.20833333333333
2020-02-28,75.875
2020-02-29,47.833333333333336
2020-03-01,48.0
2020-03-02,91.58333333333333
2020-03-03,68.91666666666667
2020-03-04,56.75
2020-03-05,26.916666666666668
2020-03-06,19.681818181818183
2020-03-07,57.833333333333336
2020-03-08,90.0
2020-03-09,69.56521739130434
2020-03-10,65.875
2020-03-11,50.375
2020-03-12,56.833333333333336
2020-03-13,49.416666666666664
2020-03-14,43.583333333333336
2020-03-15,67.125
2020-03-16,67.75
2020-03-17,73.83333333333333
2020-03-18,59.166666666666664
2020-03-19,83.95833333333333
2020-03-20,86.5
2020-03-21,74.79166666666667
2020-03-22,55.875
